fs_mhz,tx_gain,rx_gain,status,pass,reason,n_decoded,n_target,valid_rate,mean_ber,median_ber,mean_evm_db,mean_amp,mean_cfo_hz,ovf_total,ovf_warmup,ovf_steady,ovf_rate_steady,probe_mean_amp,probe_peak,probe_spur_dr
20.0,90.0,76.0,OK,True,pass,1013,1000,1.0,0.0,0.0,-15.960491365310592,0.10006945413322206,19982.427802500522,38,2,36,0.03943044906900329,0.0779072716832161,0.5651190876960754,16.072918591157833
25.0,90.0,76.0,OK,True,pass,1017,1000,1.0,0.0,0.0,-15.256601729575108,0.10163825495896558,22708.49049404057,41,3,38,0.04143947655398037,0.07941508293151855,0.6363682150840759,16.055795663122346
30.0,90.0,76.0,OK,False,OVF_high(5.7%),1000,1000,1.0,0.0,0.0,-14.339411191545933,0.10180316130243465,24934.748212757506,56,5,51,0.056666666666666664,0.07977284491062164,0.566716730594635,16.28542950970604
35.0,90.0,76.0,OK,True,pass,1012,1000,1.0,0.0,0.0,-13.64732672166582,0.10217938717894752,20425.84820137906,43,3,40,0.043859649122807015,0.08034975081682205,0.5715125203132629,16.72897083774388
40.0,90.0,76.0,OK,True,pass,1020,1000,1.0,8.197258836645026e-07,0.0,-11.988543602013966,0.10390699124872729,5864.949920069634,39,3,36,0.0391304347826087,0.08176011592149734,0.5658276677131653,17.85835074910156
42.0,90.0,76.0,OK,False,OVF_high(5.4%),1006,1000,1.0,6.649068797914853e-06,0.0,-10.294673076236483,0.1005586556666758,21591.373709552518,53,4,49,0.05408388520971302,0.07943396270275116,0.6276965141296387,18.51788987326501
45.0,90.0,76.0,OK,False,OVF_high(89.4%),763,1000,1.0,5.1504140056194303e-05,0.0,-9.49154182734762,0.10199898482531898,26676.43406037147,664,71,593,0.8944193061840121,0.08055891841650009,0.5504810214042664,19.132624551329037
