frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
1,STEI,181,1,-11.17,-9.99,0.0000,-6005,0.1457,0,-28.0,-55.4,0,,CLEAR,0.000,0.000,0.000,2.500,0,0.09704,0.10544,0.10691,0.10668,0.10210,0.10972,0.11616,0.09623,0.10211,0.11609,0.10812,0.07471,0.07085,0.09137,0.07409,0.04924,0.05797,0.05331,0.05853,0.04280,0.06705,0.04556,0.05839,0.05683,0.07757,0.15598,0.13235,0.15489,0.14355,0.15148,0.15090,0.13847,0.14844,0.14230,0.14617,0.12235,0.14426,0.10528,0.12847,0.11641,0.12668,0.10200,0.11688,0.10154,0.10515,0.10628,0.11549,0.10134,0.11139,0.10624
2,STEI,182,1,-9.35,-9.89,0.0000,-4473,0.1298,0,-28.0,-55.0,0,,CLEAR,-1.007,2978.179,7.800,2.500,0,0.09104,0.09674,0.11197,0.08816,0.11201,0.12248,0.10482,0.09507,0.10285,0.09981,0.10999,0.08658,0.10274,0.07748,0.06250,0.06170,0.05738,0.03890,0.05327,0.04918,0.06331,0.07061,0.05896,0.04235,0.07350,0.15254,0.12976,0.13979,0.14120,0.14814,0.13878,0.12757,0.13773,0.14088,0.13516,0.11705,0.13228,0.12723,0.12393,0.10795,0.12627,0.10767,0.13342,0.11231,0.13570,0.09836,0.11632,0.10625,0.11539,0.07971
3,STEI,183,1,-10.12,-9.18,0.0000,-6104,0.1170,0,-27.8,-55.7,0,,CLEAR,-1.400,6384.110,14.562,2.500,0,0.10799,0.11535,0.09705,0.10141,0.09218,0.11132,0.10588,0.07813,0.09846,0.09605,0.08748,0.09197,0.10249,0.07936,0.06504,0.06889,0.06248,0.06694,0.03222,0.05139,0.04510,0.05757,0.05711,0.04289,0.07314,0.15477,0.14265,0.13613,0.15492,0.14488,0.13665,0.12484,0.15267,0.15182,0.13949,0.14277,0.14254,0.13434,0.12278,0.12089,0.13813,0.11069,0.12767,0.11537,0.11940,0.11232,0.12192,0.10879,0.12313,0.07847
4,STEI,184,1,-13.11,-11.92,0.0000,3007,0.1106,0,-27.3,-55.5,0,,CLEAR,-1.384,820.398,7.112,2.500,0,0.10520,0.11211,0.11478,0.10318,0.12232,0.11623,0.10667,0.10437,0.11790,0.10575,0.09723,0.08565,0.09336,0.08620,0.06628,0.06334,0.06883,0.05636,0.05838,0.05187,0.06923,0.07712,0.07197,0.06450,0.08352,0.15943,0.13591,0.14283,0.13306,0.16071,0.14827,0.14559,0.15049,0.13143,0.13063,0.13535,0.13440,0.12286,0.12401,0.12475,0.12132,0.13790,0.13836,0.13507,0.11763,0.12930,0.10859,0.11482,0.11936,0.12397
5,STEI,185,1,-10.28,-10.47,0.0000,3440,0.1040,0,-27.9,-56.3,0,,CLEAR,-1.471,4307.207,11.326,2.500,0,0.09832,0.09133,0.11039,0.10227,0.10639,0.09970,0.09777,0.09360,0.11298,0.10400,0.10231,0.09666,0.09762,0.07842,0.06705,0.06895,0.05245,0.06441,0.05801,0.03779,0.06313,0.05675,0.07266,0.05555,0.08134,0.14186,0.14022,0.15528,0.14900,0.15439,0.12837,0.13875,0.15374,0.13917,0.15634,0.13050,0.13293,0.12561,0.13757,0.11283,0.12717,0.10642,0.13469,0.10910,0.12213,0.10900,0.10259,0.09112,0.11685,0.10217
6,STEI,186,1,-8.97,-9.10,0.0000,-18947,0.0999,0,-28.2,-54.0,0,,CLEAR,-1.379,-9816.806,1.052,2.500,0,0.10514,0.08424,0.09515,0.10627,0.11005,0.11454,0.09160,0.10713,0.11104,0.10014,0.09742,0.07826,0.09142,0.07566,0.06215,0.05693,0.05966,0.05098,0.05887,0.04545,0.06239,0.06468,0.05881,0.05707,0.07231,0.14640,0.13531,0.12339,0.15341,0.14022,0.13528,0.12662,0.15466,0.14789,0.14108,0.11413,0.13732,0.11853,0.12562,0.10312,0.12043,0.10339,0.11313,0.09359,0.10829,0.08380,0.12424,0.08068,0.11010,0.10621
7,STEI,187,1,-10.48,-8.88,0.0000,-9289,0.0987,0,-28.0,-53.9,0,,CLEAR,-1.238,2500.665,0.874,2.500,0,0.10501,0.09918,0.08484,0.09235,0.10684,0.09774,0.10372,0.09053,0.10457,0.11608,0.11087,0.08391,0.08703,0.08182,0.05024,0.04244,0.05509,0.05291,0.04647,0.03596,0.05965,0.07290,0.06403,0.07415,0.07614,0.14835,0.12967,0.13917,0.14830,0.16618,0.12485,0.13306,0.16023,0.15298,0.13564,0.14591,0.13957,0.12122,0.13598,0.09839,0.13556,0.10814,0.11919,0.09635,0.11139,0.09890,0.11623,0.09372,0.12124,0.10957
8,STEI,188,1,-9.19,-8.71,0.0000,-8489,0.0948,0,-28.4,-56.9,0,,CLEAR,-1.338,3617.772,1.015,2.500,0,0.10228,0.10549,0.09924,0.08318,0.10151,0.10638,0.10433,0.10432,0.11927,0.09724,0.09603,0.07239,0.09010,0.06667,0.05912,0.04944,0.05962,0.04798,0.05680,0.03580,0.05180,0.04116,0.04522,0.05696,0.07240,0.15093,0.14433,0.13417,0.13623,0.15531,0.14346,0.13424,0.14451,0.13841,0.14718,0.13180,0.12978,0.10408,0.12809,0.08864,0.13198,0.10195,0.11242,0.10392,0.12083,0.09059,0.09755,0.08973,0.09883,0.08521
9,STEI,189,1,-6.53,-6.62,0.0000,-24560,0.0946,0,-28.2,-53.3,0,,CLEAR,-1.096,-6648.202,1.012,2.500,0,0.09882,0.10550,0.10446,0.09577,0.09850,0.10119,0.10822,0.10684,0.13429,0.09037,0.09091,0.05894,0.11296,0.07137,0.07716,0.05152,0.06462,0.06473,0.05204,0.02650,0.05392,0.03369,0.07022,0.04319,0.08646,0.14477,0.12116,0.13685,0.14832,0.12776,0.13748,0.11867,0.14138,0.13708,0.14852,0.11787,0.15024,0.11404,0.13051,0.08785,0.11976,0.09630,0.11457,0.08537,0.12255,0.10116,0.12526,0.05848,0.12589,0.09689
10,STEI,190,1,-9.95,-10.44,0.0000,-7663,0.0931,0,-28.0,-55.2,0,,CLEAR,-0.969,-3206.698,0.815,2.500,0,0.11027,0.10578,0.09556,0.08533,0.10559,0.11387,0.10252,0.08658,0.10480,0.11452,0.11333,0.08296,0.09094,0.07465,0.07324,0.05214,0.06344,0.06413,0.04592,0.04337,0.06279,0.06087,0.06082,0.05571,0.08912,0.14486,0.13027,0.13800,0.14584,0.15398,0.13104,0.12023,0.15099,0.12706,0.14460,0.12589,0.14827,0.11545,0.12256,0.10445,0.12322,0.11822,0.12062,0.10020,0.11956,0.09994,0.12941,0.09577,0.10928,0.09434
11,STEI,191,1,-9.45,-10.51,0.0000,-1473,0.0925,0,-27.9,-56.0,0,,CLEAR,-0.840,1445.376,0.832,2.500,0,0.08484,0.11641,0.09139,0.08602,0.08869,0.10278,0.09373,0.10501,0.13217,0.10800,0.11377,0.08567,0.09985,0.10548,0.07043,0.06190,0.06972,0.05097,0.03917,0.04509,0.05462,0.05263,0.04741,0.05623,0.08449,0.14878,0.14119,0.14516,0.15819,0.15113,0.14112,0.14014,0.14650,0.14051,0.12486,0.12511,0.13550,0.13644,0.12999,0.12287,0.11809,0.11219,0.12838,0.10927,0.11160,0.11635,0.12013,0.09632,0.12556,0.08155
12,STEI,192,1,-11.74,-11.12,0.0000,-8012,0.0918,0,-27.6,-56.2,0,,CLEAR,-0.734,-11075.214,0.834,2.500,0,0.10090,0.09956,0.09677,0.09778,0.11076,0.10809,0.11186,0.11412,0.11237,0.11274,0.11083,0.08421,0.10194,0.08716,0.07786,0.06692,0.07119,0.04388,0.05623,0.05793,0.05891,0.05607,0.06326,0.04895,0.08220,0.15153,0.14154,0.12685,0.15294,0.14830,0.15074,0.13638,0.14641,0.12930,0.14297,0.12718,0.15049,0.12904,0.12818,0.11882,0.13299,0.11236,0.12282,0.10500,0.12397,0.11173,0.11907,0.10413,0.11136,0.09317
13,STEI,193,1,-11.05,-10.64,0.0000,5110,0.0915,0,-28.0,-56.1,0,,CLEAR,-0.705,-1345.993,0.812,2.500,0,0.10800,0.10491,0.09196,0.09713,0.08947,0.10393,0.11203,0.09066,0.10680,0.09098,0.08939,0.07988,0.08025,0.08752,0.07961,0.05434,0.07642,0.06289,0.04729,0.04062,0.06335,0.07075,0.06652,0.06608,0.07552,0.15672,0.13484,0.13309,0.16514,0.14874,0.14334,0.13791,0.14393,0.13557,0.15067,0.14408,0.13727,0.12171,0.11172,0.12424,0.13114,0.11224,0.13140,0.11403,0.10961,0.11015,0.11054,0.11126,0.09002,0.09208
14,STEI,194,1,-9.83,-8.20,0.0000,-11546,0.0917,0,-28.3,-54.4,0,,CLEAR,-0.635,-6293.258,0.779,2.500,0,0.10795,0.08216,0.09546,0.09068,0.10127,0.08740,0.09757,0.08887,0.11443,0.10334,0.08576,0.09094,0.07710,0.07706,0.06835,0.03536,0.06047,0.04006,0.03485,0.04317,0.06920,0.04315,0.06837,0.04928,0.08842,0.15404,0.13975,0.13457,0.15248,0.14689,0.14227,0.13308,0.15725,0.12677,0.14898,0.13914,0.14960,0.12469,0.13123,0.09623,0.11929,0.10206,0.12827,0.09603,0.11738,0.09664,0.10858,0.09503,0.12256,0.08523
15,STEI,195,1,-10.94,-9.88,0.0000,412,0.0915,0,-28.0,-55.0,0,,CLEAR,-0.480,2410.671,0.704,2.500,0,0.09312,0.11549,0.10348,0.10343,0.09549,0.09115,0.08887,0.11242,0.09454,0.10028,0.09896,0.09924,0.07694,0.08178,0.06716,0.06705,0.05150,0.05952,0.04181,0.04431,0.04758,0.05185,0.06057,0.05311,0.07461,0.15767,0.13022,0.14918,0.14557,0.14336,0.12738,0.14315,0.13583,0.14459,0.14048,0.12040,0.12957,0.12460,0.13807,0.11299,0.12552,0.10956,0.11189,0.10448,0.11291,0.08770,0.11711,0.11102,0.11835,0.10291
16,STEI,196,1,-11.73,-11.07,0.0000,-1223,0.0916,0,-27.9,-55.6,0,,CLEAR,-0.301,4757.857,0.664,2.500,0,0.10333,0.09235,0.08883,0.11809,0.09758,0.10927,0.09738,0.10772,0.10060,0.08879,0.11503,0.10248,0.09215,0.07461,0.07684,0.04319,0.05552,0.04783,0.04156,0.05148,0.07059,0.06507,0.05521,0.06935,0.07165,0.13405,0.13129,0.15558,0.14060,0.13775,0.13582,0.13610,0.14393,0.12447,0.13712,0.12583,0.12636,0.13098,0.14221,0.12463,0.13362,0.10707,0.11684,0.11165,0.11370,0.09497,0.11904,0.10752,0.10344,0.10045
17,STEI,197,1,-12.98,-11.84,0.0000,12128,0.0911,0,-27.6,-53.9,0,,CLEAR,-0.334,-1396.002,0.761,2.500,0,0.11668,0.09478,0.11512,0.10600,0.10165,0.11581,0.10698,0.10309,0.11688,0.10956,0.09572,0.10475,0.08066,0.09864,0.07833,0.06168,0.06070,0.05891,0.05187,0.03798,0.06561,0.05155,0.05593,0.06567,0.08176,0.14952,0.13373,0.14713,0.15136,0.15133,0.14683,0.14684,0.13043,0.12688,0.13899,0.12930,0.13420,0.11962,0.11993,0.12085,0.13519,0.11723,0.10801,0.11836,0.12159,0.10359,0.11924,0.11753,0.09646,0.09798
18,STEI,198,1,-12.88,-12.29,0.0000,4345,0.0914,0,-27.6,-54.9,0,,CLEAR,-0.293,-9747.542,0.728,2.500,0,0.12563,0.10194,0.11341,0.11501,0.10168,0.09473,0.10823,0.09372,0.11807,0.10529,0.10911,0.08710,0.09696,0.07335,0.08009,0.04987,0.06104,0.05869,0.06459,0.05803,0.07140,0.05539,0.07408,0.05967,0.08005,0.14642,0.14878,0.15761,0.14680,0.15357,0.13274,0.14599,0.14520,0.13515,0.14443,0.13483,0.13113,0.11391,0.12399,0.10900,0.12769,0.11480,0.11258,0.10806,0.12241,0.10825,0.12169,0.09845,0.11158,0.12104
19,STEI,199,1,-11.25,-12.11,0.0000,-3336,0.0917,0,-27.8,-54.7,0,,CLEAR,-0.196,-9349.476,0.629,2.500,0,0.09250,0.09762,0.10635,0.09486,0.10715,0.10157,0.12194,0.12331,0.10445,0.09498,0.09745,0.09442,0.11051,0.08120,0.08558,0.06120,0.05507,0.06199,0.06126,0.05796,0.05101,0.06703,0.07381,0.06896,0.07479,0.13898,0.13614,0.13445,0.15684,0.15311,0.15073,0.13953,0.13176,0.14158,0.15605,0.13623,0.14265,0.12240,0.12186,0.12341,0.12240,0.11300,0.10564,0.10612,0.10897,0.09844,0.12206,0.08955,0.11687,0.09640
