fs_mhz,tx_gain,rx_gain,status,pass,reason,n_decoded,n_target,valid_rate,mean_ber,median_ber,mean_evm_db,mean_amp,mean_cfo_hz,ovf_total,ovf_warmup,ovf_steady,ovf_rate_steady,probe_mean_amp,probe_peak,probe_spur_dr
20.0,90.0,76.0,OK,True,pass,314,300,1.0,0.0,0.0,-16.16090149208,0.10068282966356078,19417.064488051,10,1,9,0.03409090909090909,0.07785940170288086,0.6217333078384399,16.12309437936514
30.0,90.0,76.0,OK,False,OVF_high(5.7%),313,300,1.0,0.0,0.0,-14.126322250832173,0.10198232174710835,24733.423071370562,16,1,15,0.057034220532319393,0.07940219342708588,0.6453726887702942,16.348163317818702
40.0,90.0,76.0,OK,True,pass,317,300,1.0,2.637603789709125e-06,0.0,-12.168344875084141,0.10364435273582363,6313.94626337703,11,1,10,0.03745318352059925,0.08148830384016037,0.5655585527420044,17.834309285181714
45.0,90.0,76.0,OK,False,OVF_high(83.2%),300,300,1.0,3.901895206243032e-05,0.0,-9.615084336399901,0.10183556138964417,26910.561056670726,243,35,208,0.832,0.08025932312011719,0.8846390247344971,19.13214496262179
50.0,90.0,76.0,NO_FRAMES,False,no_data,0,300,0.0,nan,,nan,,,1034,,0,0.0,0.025877542793750763,0.409044086933136,
56.0,90.0,76.0,NO_FRAMES,False,no_data,0,300,0.0,nan,,nan,,,715,,0,0.0,0.0832507535815239,0.5606423616409302,
