frame_idx,text,counter,crc_ok,comm_evm_db,sense_evm_db,sense_ber,cfo_hz,amp,ovf,direct_db,noise_floor_db,n_echoes,echoes_m,jcas_status,jcas_amp_hp_db,jcas_doppler_hp_hz,jcas_score,jcas_threshold,jcas_object_detected,habs_1,habs_2,habs_3,habs_4,habs_5,habs_6,habs_7,habs_8,habs_9,habs_10,habs_11,habs_12,habs_13,habs_14,habs_15,habs_16,habs_17,habs_18,habs_19,habs_20,habs_21,habs_22,habs_23,habs_24,habs_25,habs_39,habs_40,habs_41,habs_42,habs_43,habs_44,habs_45,habs_46,habs_47,habs_48,habs_49,habs_50,habs_51,habs_52,habs_53,habs_54,habs_55,habs_56,habs_57,habs_58,habs_59,habs_60,habs_61,habs_62,habs_63
1,STEI,41,1,-12.16,-11.73,0.0000,3791,0.2247,0,-27.4,-53.9,0,,CLEAR,0.000,0.000,0.000,2.500,0,0.10037,0.09706,0.10425,0.10314,0.11264,0.10909,0.11594,0.11388,0.10610,0.10735,0.11305,0.10130,0.08707,0.09090,0.08044,0.05638,0.06462,0.04968,0.06253,0.05254,0.06076,0.04827,0.06175,0.05447,0.08047,0.14380,0.15250,0.13365,0.16056,0.15134,0.15586,0.14106,0.16161,0.15820,0.15535,0.12914,0.15833,0.13132,0.12607,0.10565,0.11979,0.11948,0.13746,0.11083,0.12759,0.09540,0.13505,0.12943,0.12277,0.09919
2,STEI,42,1,-10.14,-10.41,0.0000,-3894,0.1927,0,-27.8,-54.7,0,,CLEAR,-1.337,-6317.224,14.294,2.500,0,0.09351,0.09452,0.09595,0.08812,0.09996,0.11324,0.11240,0.10682,0.10305,0.09387,0.10673,0.08546,0.09452,0.07341,0.08466,0.04398,0.05038,0.05412,0.05827,0.04655,0.06601,0.06026,0.07355,0.06449,0.07758,0.15818,0.14414,0.15092,0.14184,0.14959,0.14505,0.14754,0.14479,0.14704,0.13991,0.12288,0.13161,0.11380,0.14639,0.12025,0.12803,0.11189,0.13155,0.10900,0.12373,0.10973,0.13893,0.10272,0.12266,0.08841
3,STEI,43,1,-11.80,-11.56,0.0000,-3504,0.1658,0,-27.7,-54.3,0,,CLEAR,-1.972,10494.798,23.189,2.500,0,0.11097,0.10587,0.09315,0.09235,0.11327,0.09416,0.10963,0.10700,0.10236,0.10458,0.11171,0.08735,0.10620,0.05925,0.06969,0.06794,0.07860,0.05489,0.06642,0.04494,0.06058,0.06460,0.07148,0.07937,0.07339,0.14059,0.15097,0.13613,0.15964,0.14301,0.15454,0.14130,0.15584,0.13954,0.16271,0.12752,0.14352,0.09643,0.12710,0.11274,0.13711,0.09991,0.13149,0.13369,0.12171,0.10035,0.11833,0.10339,0.11002,0.10704
4,STEI,44,1,-11.42,-11.93,0.0000,-1716,0.1446,0,-27.9,-54.9,0,,CLEAR,-2.492,6616.138,18.177,2.500,0,0.10462,0.08380,0.10049,0.10231,0.11202,0.12507,0.10248,0.09392,0.10227,0.09453,0.10476,0.08475,0.09981,0.07485,0.08275,0.06524,0.05560,0.05095,0.05712,0.03808,0.06315,0.05807,0.05906,0.06346,0.08150,0.13908,0.15797,0.13311,0.15606,0.14521,0.15169,0.13942,0.15340,0.13146,0.14493,0.13075,0.13442,0.12799,0.12964,0.11234,0.13072,0.10464,0.11469,0.10771,0.12065,0.09443,0.12238,0.09839,0.11298,0.10915
5,STEI,45,1,-10.94,-10.51,0.0000,-7877,0.1305,0,-28.0,-53.9,0,,CLEAR,-2.731,-10682.769,25.357,2.500,0,0.10414,0.09147,0.08819,0.10569,0.10042,0.08849,0.10930,0.09601,0.09834,0.10190,0.09486,0.09354,0.09259,0.07288,0.08870,0.06243,0.08038,0.03927,0.06020,0.05004,0.05345,0.05576,0.06995,0.06799,0.07863,0.13750,0.15257,0.13187,0.16411,0.14749,0.16497,0.12354,0.16279,0.12225,0.13745,0.11760,0.14544,0.11285,0.11590,0.10976,0.12768,0.10729,0.12353,0.10454,0.12791,0.10417,0.12024,0.09371,0.13423,0.10527
6,STEI,46,1,-8.27,-7.63,0.0000,-10295,0.1162,0,-28.1,-54.8,0,,CLEAR,-3.087,8306.886,1.600,2.500,0,0.11221,0.10705,0.08992,0.09233,0.08946,0.11036,0.10457,0.09884,0.10780,0.11049,0.09354,0.07092,0.08099,0.06715,0.07090,0.05413,0.06755,0.03660,0.04878,0.03269,0.04956,0.05760,0.05711,0.03136,0.06716,0.14702,0.13800,0.13404,0.14157,0.13058,0.16144,0.13252,0.15565,0.13706,0.15661,0.10959,0.14191,0.11095,0.14268,0.10982,0.12999,0.09799,0.12354,0.10890,0.12822,0.10598,0.11355,0.08335,0.13199,0.07306
7,STEI,47,1,-12.53,-11.43,0.0000,-1379,0.1098,0,-27.7,-54.0,0,,CLEAR,-2.988,435.393,1.192,2.500,0,0.09972,0.10837,0.11141,0.11382,0.11042,0.10056,0.10405,0.11103,0.09020,0.09247,0.11018,0.07578,0.09865,0.07033,0.05973,0.06822,0.06699,0.04889,0.05464,0.04477,0.05996,0.06003,0.05735,0.07370,0.07333,0.14219,0.13392,0.14982,0.14149,0.15584,0.15118,0.15190,0.15262,0.13536,0.14705,0.14082,0.14596,0.12049,0.13508,0.12176,0.12701,0.10072,0.11761,0.11510,0.14285,0.09963,0.11581,0.09502,0.12083,0.11353
8,STEI,48,1,-10.00,-9.69,0.0000,-16997,0.1039,0,-27.8,-54.4,0,,CLEAR,-2.871,-9250.599,1.034,2.500,0,0.10292,0.12503,0.10221,0.10103,0.10556,0.10083,0.11248,0.09580,0.12219,0.10541,0.10461,0.08718,0.08877,0.07031,0.06359,0.05109,0.07746,0.04507,0.05359,0.03513,0.05515,0.05216,0.07622,0.05152,0.08816,0.12758,0.15032,0.13340,0.15548,0.13361,0.15582,0.12644,0.16073,0.13085,0.14388,0.12118,0.13655,0.11601,0.14464,0.10306,0.12477,0.10083,0.13012,0.09418,0.11554,0.10407,0.11615,0.08069,0.12557,0.11056
9,STEI,49,1,-11.54,-9.73,0.0000,-7893,0.0999,0,-27.7,-53.7,0,,CLEAR,-2.768,2065.009,1.042,2.500,0,0.11104,0.09729,0.11539,0.08092,0.09158,0.10222,0.10082,0.09459,0.12300,0.10475,0.12107,0.08855,0.08878,0.07837,0.08153,0.05547,0.07744,0.03266,0.04723,0.06545,0.05457,0.06026,0.08102,0.05338,0.07243,0.14760,0.14275,0.13693,0.16483,0.14708,0.14542,0.12856,0.15512,0.12757,0.14981,0.12541,0.15849,0.12971,0.12715,0.10791,0.13643,0.11598,0.13199,0.11313,0.12578,0.08843,0.12138,0.11116,0.13222,0.10055
10,STEI,50,1,-9.85,-11.77,0.0000,-3435,0.0974,0,-27.7,-54.1,0,,CLEAR,-2.540,2733.774,0.866,2.500,0,0.11656,0.09690,0.11568,0.09173,0.10733,0.10187,0.09230,0.11352,0.11553,0.11215,0.10292,0.08967,0.10380,0.08478,0.08280,0.05846,0.05787,0.04887,0.05445,0.05362,0.06259,0.05050,0.05877,0.07281,0.06674,0.14913,0.15258,0.15434,0.15845,0.13391,0.14909,0.14564,0.13967,0.13280,0.14819,0.14640,0.14813,0.12460,0.14103,0.09607,0.12786,0.10480,0.12512,0.11296,0.13173,0.11335,0.13257,0.09480,0.10528,0.07992
